track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,playlist_name
Playing Games (with Bryson Tiller) - Extended Version,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,0.459,115.918,rnb,All the Feels
Lifetime,0.475,0.332,0,-11.807,1,0.0563,0.755,1.16e-05,0.114,0.506,111.614,rnb,All the Feels
Come and See Me (feat. Drake),0.807,0.347,2,-10.275,1,0.0613,0.0548,2.55e-06,0.087,0.0606,84.982,rnb,All the Feels
Whoa,0.509,0.514,10,-11.283,1,0.123,0.121,0.00144,0.104,0.476,188.019,rnb,All the Feels
Her,0.676,0.5,1,-6.603,1,0.0513,0.00371,0.00278,0.114,0.0742,90.03,rnb,All the Feels
Back to the Streets (feat. Jhené Aiko),0.865,0.792,4,-4.207,1,0.0677,0.168,1.46e-05,0.107,0.562,101.985,rnb,All the Feels
Summer 2020,0.401,0.485,6,-10.787,0,0.216,0.831,0.000292,0.0907,0.54,169.949,rnb,All the Feels
Lullaby,0.849,0.19,7,-9.628,1,0.0447,0.549,0.00229,0.102,0.203,113.955,rnb,All the Feels
All I Need,0.464,0.547,6,-6.455,0,0.0543,0.538,5.37e-05,0.108,0.277,134.38,rnb,All the Feels
Letter To Ur Ex,0.69,0.494,6,-7.41,0,0.0378,0.572,0.00068,0.129,0.283,79.955,rnb,All the Feels
Good & Plenty,0.658,0.619,9,-7.316,0,0.0772,0.788,0.0667,0.0951,0.354,136.077,rnb,All the Feels
Time Machine,0.662,0.516,2,-5.143,0,0.0375,0.0167,0.0003,0.134,0.181,87.099,rnb,All the Feels
Take Care of You (feat. Syd),0.666,0.535,4,-9.033,0,0.112,0.827,0.0228,0.202,0.259,127.029,rnb,All the Feels
My Affection (with PARTYNEXTDOOR),0.632,0.495,7,-8.335,1,0.143,0.333,0.0,0.0941,0.233,77.083,rnb,All the Feels
Not Me,0.61,0.478,2,-7.648,0,0.32,0.293,0.000898,0.0963,0.477,171.881,rnb,All the Feels
All Pride Aside with Summer Walker,0.643,0.581,8,-6.783,1,0.0565,0.079,0.000133,0.104,0.474,129.925,rnb,All the Feels
Stole My Love,0.777,0.472,0,-10.24,1,0.0418,0.566,0.0,0.105,0.429,116.059,rnb,All the Feels
Juke Jam (feat. Justin Bieber & Towkio),0.505,0.397,5,-9.349,1,0.324,0.716,0.0,0.0853,0.558,95.063,rnb,All the Feels
LOST YOU,0.445,0.468,5,-8.106,0,0.0702,0.524,0.000849,0.112,0.444,87.803,rnb,All the Feels
Waiting For (feat. Jamila Woods),0.738,0.379,2,-11.644,0,0.084,0.201,1.1e-05,0.0806,0.598,122.042,rnb,All the Feels
Doing It Wrong,0.397,0.172,6,-15.698,0,0.0445,0.841,6.78e-05,0.108,0.123,101.275,rnb,All the Feels
Easy,0.722,0.282,5,-7.484,1,0.106,0.373,0.00557,0.147,0.217,91.367,rnb,All the Feels
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),0.664,0.61,7,-6.432,0,0.339,0.145,0.0,0.097,0.472,76.024,rnb,All the Feels
Intoxicated Truth,0.685,0.669,1,-6.126,1,0.0355,0.729,8.81e-05,0.112,0.38,110.003,rnb,All the Feels
Give Me Time,0.66,0.648,10,-6.339,0,0.0854,0.444,0.0,0.164,0.309,145.909,rnb,All the Feels
Nights Like This (feat. Ty Dolla $ign),0.61,0.725,8,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,rnb,All the Feels
Letter To Ur N(ex)t,0.49,0.296,2,-10.989,0,0.0985,0.879,0.000141,0.106,0.0971,105.829,rnb,All the Feels
How Could I Forget You,0.57,0.411,6,-9.461,0,0.0579,0.655,5.37e-05,0.198,0.441,74.358,rnb,All the Feels
Honesty,0.66,0.139,6,-16.339,0,0.0323,0.964,1.1e-05,0.105,0.312,79.975,rnb,All the Feels
Do I Ever (feat. Chris Brown),0.453,0.461,1,-6.387,1,0.0533,0.0319,0.0,0.142,0.414,98.172,rnb,All the Feels
The Worst,0.539,0.414,1,-9.156,0,0.0601,0.253,1.3e-06,0.143,0.123,94.895,rnb,All the Feels
Girl Like Me (feat. H.E.R.),0.5,0.638,6,-4.007,0,0.0756,0.66,0.0,0.366,0.698,81.145,rnb,All the Feels
Wicked Games,0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27e-06,0.325,0.326,114.078,rnb,All the Feels
Wicked Games,0.789,0.435,1,-7.042,0,0.0599,0.447,0.0,0.135,0.456,72.973,rnb,All the Feels
atrapada en el cielo,0.402,0.346,2,-9.694,0,0.0436,0.145,0.0,0.104,0.118,137.821,rnb,All the Feels
"CINDERELLA, Pt. 2",0.58,0.317,6,-10.769,1,0.137,0.489,3.45e-06,0.112,0.338,176.959,rnb,All the Feels
MUTUAL FRIEND,0.537,0.349,11,-7.818,1,0.0358,0.79,0.0,0.094,0.388,99.762,rnb,All the Feels
Wylin',0.497,0.489,4,-7.849,0,0.0413,0.111,0.00167,0.0912,0.0348,163.814,rnb,All the Feels
WTF,0.635,0.531,8,-9.241,1,0.292,0.198,0.0,0.212,0.359,130.209,rnb,All the Feels
Blue Lights,0.692,0.57,7,-8.077,1,0.185,0.666,0.0,0.107,0.309,91.917,rnb,All the Feels
More Than Enough,0.648,0.531,2,-5.886,0,0.0345,0.26,0.000897,0.12,0.253,143.008,rnb,All the Feels
Easily,0.773,0.256,7,-8.545,0,0.0481,0.491,0.00612,0.144,0.357,118.893,rnb,All the Feels
Goofy,0.734,0.415,5,-9.227,0,0.189,0.429,0.0,0.135,0.0718,57.723,rnb,All the Feels
Best Part (feat. H.E.R.),0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,rnb,All the Feels
Losin Control,0.759,0.245,6,-6.545,1,0.138,0.515,0.000154,0.102,0.209,96.992,rnb,All the Feels
What A Lie,0.636,0.567,1,-7.344,1,0.0745,0.568,1.4e-05,0.131,0.282,125.457,rnb,All the Feels
Killing Me,0.432,0.401,11,-8.381,0,0.0582,0.469,0.0,0.137,0.23,158.274,rnb,All the Feels
Dead To Me,0.526,0.347,7,-10.333,1,0.13,0.694,0.000251,0.112,0.344,115.219,rnb,All the Feels
Wake Up Love,0.583,0.766,11,-4.743,0,0.405,0.502,1.79e-06,0.159,0.203,131.374,rnb,All the Feels
LANSDOWNE,0.569,0.376,9,-6.622,1,0.121,0.675,0.498,0.111,0.312,80.099,rnb,All the Feels
Think About Me,0.549,0.294,7,-10.2,1,0.048,0.0606,0.792,0.0933,0.11,105.03,rnb,All the Feels
